id_produto,tombo,numero_tombo,codigo_de_barras,autor,titulo,procedencia,estoque,local_estoque,id_editora,colecao,edicao,volume,ano,id_tipo_produto,defeito,bloquear,aquisicao_c,aquisicao_d,aquisicao_t,id_usuario,ult_alteracao,obs,data_cadastro
32,2010-11-10 00:00:00+00:00,20.510              ,             ,"COSTA, Flávio Moreira da (org.)                                                                                         ","MELHORES CONTOS DE CÃES E GATOS, OS                                                                                     ",PNBE                                                                                                                    ,0,                              ,962,-                                                                                                                       ,-                   ,-                   ,2007,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos - Antologia,2024-10-25 00:00:00+00:00
33,2010-11-10 00:00:00+00:00,20.511              ,             ,"CORALINA, Cora                                                                                                          ",ESTÓRIAS DA CASA VELHA DA PONTE                                                                                         ,PNBE                                                                                                                    ,0,                              ,1071,-                                                                                                                       ,14a.                ,-                   ,2008,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Brasileiros,2024-10-25 00:00:00+00:00
34,2010-11-10 00:00:00+00:00,20.512              ,             ,"PIROLI, Wander                                                                                                          ",É PROIBIDO COMER A GRAMA                                                                                                ,PNBE                                                                                                                    ,0,                              ,1179,-                                                                                                                       ,-                   ,-                   ,2006,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Lit. Bras. Policial,2024-10-25 00:00:00+00:00
35,2010-11-10 00:00:00+00:00,20.513              ,             ,"SIMÕES, Maria Lúcia                                                                                                     ",CONTOS CONTIDOS                                                                                                         ,PNBE                                                                                                                    ,0,                              ,1382,-                                                                                                                       ,2a.                 ,-                   ,2006,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Brasileiros,2024-10-25 00:00:00+00:00
36,2010-11-10 00:00:00+00:00,20.514              ,             ,"MONTENEGRO, Tércia                                                                                                      ","VENDEDOR DE JUDAS, O                                                                                                    ",PNBE                                                                                                                    ,0,                              ,943,-                                                                                                                       ,3a.                 ,-                   ,2009,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Brasileiros,2024-10-25 00:00:00+00:00
37,2010-11-10 00:00:00+00:00,20.515              ,             ,"ABREU, Caio Fernando et al.                                                                                             ","PROSA DO MUNDO, A                                                                                                       ",PNBE                                                                                                                    ,0,                              ,1071,-                                                                                                                       ,-                   ,-                   ,2008,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Brasileiros,2024-10-25 00:00:00+00:00
38,2010-11-10 00:00:00+00:00,20.516              ,             ,"CAPARELLI, Sérgio                                                                                                       ","COLCHA MUITO CURTA, UMA                                                                                                 ",PNBE                                                                                                                    ,0,                              ,1167,-                                                                                                                       ,-                   ,-                   ,2009,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Infanto juvenis,2024-10-25 00:00:00+00:00
39,2010-11-10 00:00:00+00:00,20.517              ,             ,"SCLIAR, Moacyr e ZILBERMANN, R. (sel.)                                                                                  ",MELHORES CONTOS                                                                                                         ,PNBE                                                                                                                    ,0,                              ,1091,-                                                                                                                       ,6a.                 ,-                   ,2003,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Contos Brasileiros,2024-10-25 00:00:00+00:00
40,2010-11-10 00:00:00+00:00,20.518              ,             ,"LEMOS, Gláucia                                                                                                          ","VOU TE CONTAR, MEU CAMARADA                                                                                             ",PNBE                                                                                                                    ,0,                              ,947,Zona Livre                                                                                                              ,-                   ,-                   ,2008,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Novela Brasileira - Jovens,2024-10-25 00:00:00+00:00
41,2010-11-10 00:00:00+00:00,20.519              ,             ,"SCLIAR, Moacir                                                                                                          ",PRA VOCÊ EU CONTO                                                                                                       ,PNBE                                                                                                                    ,0,                              ,827,Entre Linhas - Sociedade                                                                                                ,19a.                ,-                   ,2008,0,False,False,False,False,True,0,2024-10-25 00:00:00+00:00,Lit. Infantojuvenil - História,2024-10-25 00:00:00+00:00
